,dealcounts,dealsizeusdmn,seed_founding,firstrounds_founding,has_ipo,ipo_value,has_tradesale,tradesale_value,name,Strat_score,score_year,incyear,portfoliocompanycity,portfoliocompanystatecounty
26178,8,351.22,0.0,80.0,1.0,74.52,0.0,0.0,"Barracuda Networks, Inc.",0.8385919309445257,2002,2002,Campbell,CA
28167,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Active Interest Media Inc.,0.8680931506181021,2003,2003,Boulder,CO
30078,8,92.0,0.0,50.0,0.0,0.0,0.0,0.0,"Nanomix, Inc.",0.9433624445476472,2000,2000,Emeryville,CA
30392,6,73.1,0.0,43.0,0.0,0.0,1.0,0.0,Netronome Systems,0.8136491151865352,2003,2003,Santa Clara,CA
31705,4,59.0,0.0,59.0,0.0,0.0,1.0,0.0,TZero Technologies,0.9227909895854224,2003,2003,Santa Clara,CA
32442,4,87.5,0.0,87.5,0.0,0.0,1.0,0.0,Dachis Group,0.9128749585577588,2008,2008,Austin,TX
32529,16,1157.4,0.0,418.0,1.0,216.0,1.0,3900.0,"HomeAway, Inc.",0.8844620296983969,2005,2005,Austin,TX
32917,34,688.02,0.0,177.8,1.0,188.0,0.0,0.0,"Chegg, Inc.",0.9063025429613788,2003,2003,Santa Clara,CA
33245,10,44.54,0.0,30.0,0.0,0.0,1.0,0.0,"Limos.com, Inc.",0.8107378778119472,2008,2008,San Francisco,CA
35855,10,134.39999999999998,5.6,134.39999999999998,0.0,0.0,0.0,0.0,Helium Inc.,0.8609366012235851,2013,2013,San Francisco,CA
37426,2,0.0,0.0,0.0,1.0,160.17,0.0,0.0,RPX Corporation,0.8592908539583837,2008,2008,San Francisco,CA
38025,9,115.5,0.0,13.5,0.0,0.0,1.0,110.0,"Cloudmark, Inc.",0.9296184048589432,2001,2001,San Francisco,CA
38745,10,257.20000000000005,0.0,125.0,0.0,0.0,1.0,0.0,Suniva Inc.,0.7327184454402179,2006,2006,Norcross,GA
39378,8,108.2,0.0,108.2,0.0,0.0,1.0,200.0,Cheddar Inc.,0.7145111515132231,2016,2016,New York,NY
41349,2,39.5,0.0,39.5,0.0,0.0,0.0,0.0,Senior Whole Health,0.7081754001556742,2004,2004,St. Cambridge,MA
44698,10,299.8,0.0,234.0,0.0,0.0,1.0,250.0,"Gilt Groupe, Inc.",0.8918519819718022,2007,2007,New York,NY
46517,1,0.33,0.0,0.0,0.0,0.0,1.0,0.0,Netmining,0.9054922326812562,2000,2000,New York,NY
47051,3,19.5,0.0,4.0,0.0,0.0,0.0,0.0,ESO Solutions Inc.,0.8517548960271022,2004,2004,Austin,TX
47946,6,345.0,0.0,0.0,0.0,0.0,1.0,0.0,"Highwinds Network Group, Inc.",0.8793036695981231,2002,2002,Winter Park,FL
48230,2,10.0,0.0,10.0,0.0,0.0,0.0,0.0,The Sportsman Channel,0.8426530509729316,2003,2003,New Berlin,WI
49847,10,60.26,0.0,50.8,0.0,0.0,0.0,0.0,Supplyworks Inc.,0.7913252389281107,2015,2015,Jacksonville,FL
49993,2,85.0,0.0,85.0,0.0,0.0,1.0,305.0,Recurrent Energy,0.5612552470583675,2006,2006,San Francisco,CA
52707,1,14.5,0.0,14.5,0.0,0.0,0.0,0.0,Bright Computing,0.8776606849961615,2009,2009,San Jose,CA
53490,6,19.0,0.0,0.0,0.0,0.0,1.0,0.0,"Ghostery, Inc.",0.9104737655398614,2009,2009,New York,NY
53571,7,101.5,0.0,27.5,1.0,95.0,0.0,0.0,"Talend, Inc.",0.9442896024010088,2005,2005,Redwood City,CA
54413,2,93.0,0.0,93.0,1.0,132.81,1.0,0.0,Fleetmatics Development Limited,0.9217466023839735,2004,2004,Waltham,MA
54892,4,4.0,0.0,4.0,1.0,188.8,0.0,0.0,Skullcandy Inc.,0.9230130959906292,2003,2003,Park City,UT
55033,4,24.0,0.0,24.0,0.0,0.0,1.0,144.0,SpotXchange,0.7809223275968539,2006,2006,Westminster,CO
55111,4,40.6,0.0,40.6,0.0,0.0,0.0,0.0,Kapitall,0.9211010641474112,2008,2008,New York,NY
58438,20,123.94,0.0,26.0,0.0,0.0,0.0,0.0,"VidSys, Inc.",0.9425492212752444,2005,2005,Vienna,VA
59149,10,89.16000000000003,0.0,41.0,0.0,0.0,0.0,0.0,"Scale Computing, Inc.",0.740318903061481,2007,2007,Indianapolis,IN
59742,4,6.0,0.0,0.0,0.0,0.0,0.0,0.0,"IPLogic, Inc.",0.8665784980373552,2001,2001,Latham,NY
60153,3,10.0,0.0,0.0,0.0,0.0,1.0,0.0,"Centrata, Inc.",0.9604123493296493,2001,2001,Redwood City,CA
61058,5,27.3,0.0,27.0,0.0,0.0,0.0,0.0,Kiip Inc.,0.9216595098717622,2010,2010,San Francisco,CA
61090,9,223.15,0.0,3.07,0.0,0.0,0.0,0.0,Borro Limited,0.6897355683519283,2008,2008,New York,NY
61154,15,229.2,0.0,220.2,1.0,116.0,1.0,125.0,Rocket Fuel Inc.,0.8101275597253622,2008,2008,Redwood City,CA
61319,16,86.2,0.0,49.0,0.0,0.0,0.0,0.0,"SocialFlow, Inc.",0.911113996753329,2010,2010,New York,NY
61345,5,163.0,0.0,145.0,1.0,126.0,0.0,0.0,"Alteryx, Inc.",0.9590166667156552,2010,2010,Irvine,CA
61692,5,61.6,0.0,20.3,0.0,0.0,1.0,173.0,ClairMail Inc.,0.868046899796228,2004,2004,San Rafael,CA
61767,8,48.03,0.0,35.03,0.0,0.0,1.0,0.0,"Predixion Software, Inc.",0.8592233908252339,2009,2009,Aliso Viejo,CA
61791,4,3.3,0.0,2.2,0.0,0.0,0.0,0.0,Velocita Inc.,0.8831050811334965,2010,2010,Sunnyvale,CA
61841,10,404.1,0.0,138.0,0.0,0.0,1.0,1600.0,AppNexus Inc.,0.8594839737630616,2007,2007,New York,NY
61848,14,314.3,0.0,121.6,1.0,91.0,1.0,0.0,"Care.com, Inc.",0.6781209951287714,2006,2006,Waltham,MA
61896,8,40.42,1.5,13.910000000000002,0.0,0.0,1.0,0.0,"Linkable Networks, Inc.",0.8879689011919701,2010,2010,Boston,MA
61900,12,66.0,0.0,54.0,0.0,0.0,0.0,0.0,GutCheck,0.8998955641148616,2009,2009,Denver,CO
61912,5,18.8,0.0,18.8,0.0,0.0,1.0,0.0,"exclusively.in, Inc.",0.9218049536151456,2016,2016,New York,NY
61924,14,379.4,0.0,167.39999999999995,0.0,0.0,0.0,0.0,"DataStax, Inc.",0.8852508988218281,2010,2010,Santa Clara,CA
61929,5,37.56,0.0,17.560000000000002,0.0,0.0,1.0,0.0,"Vindicia, Inc.",0.8733655135977474,2003,2003,Redwood City,CA
61931,7,40.85,0.34,37.34,0.0,0.0,0.0,0.0,TabbedOut,0.9361281382592472,2009,2009,Austin,TX
61945,21,137.7,0.0,132.0,1.0,97.5,0.0,0.0,"RingCentral, Inc.",0.8733311184500877,2003,2003,Belmont,CA
62067,16,209.74,0.0,159.39999999999995,0.0,0.0,0.0,0.0,"Urban Airship, Inc.",0.8322658990792524,2009,2009,Portland,OR
62073,7,86.44,0.0,34.06,1.0,193.0,0.0,0.0,Grubhub Holdings Inc.,0.7785421039345559,2004,2004,Chicago,IL
62137,24,349.92000000000013,0.0,70.2,1.0,79.0,0.0,0.0,"Marketo, Inc.",0.8088851188770301,2006,2006,San Mateo,CA
62159,16,242.4,0.0,98.4,0.0,0.0,0.0,0.0,"CloudBees, Inc.",0.8288839984207378,2010,2010,San Jose,CA
62199,18,133.4,0.0,73.4,0.0,0.0,1.0,0.0,"Transactis, Inc.",0.9099797437981036,2007,2007,New York,NY
62206,21,350.34,0.0,172.5,0.0,0.0,0.0,0.0,Invoca Inc.,0.7104501143917908,2008,2008,Santa Barbara,CA
62254,9,137.53000000000003,0.0,73.5,0.0,0.0,1.0,310.0,"Bonobos, Inc.",0.9047947446873821,2007,2007,New York,NY
62262,12,15.5,0.0,15.0,0.0,0.0,1.0,0.0,Payvment Inc.,0.8353034862570519,2009,2009,Palo Alto,CA
62299,20,175.51999999999995,2.4,114.72,0.0,0.0,1.0,0.0,"Monetate, Inc.",0.9129614446068196,2008,2008,New York,NY
62376,9,28.5,0.0,0.0,0.0,0.0,0.0,0.0,"Tripleseat Software, LLC",0.9364791795522862,2008,2008,Concord,MA
62445,5,24.03,0.0,19.03,0.0,0.0,0.0,0.0,"SensorLogic, Inc.",0.9025026362763668,2002,2002,Boston,MA
62486,8,181.0,0.0,99.6,1.0,168.0,0.0,0.0,"Nimble Storage, Inc.",0.7499198594407547,2007,2007,San Jose,CA
62543,4,4.6,2.0,4.6,0.0,0.0,1.0,0.0,"North Hawaii Trading Co, LLC",0.9093343422937248,2005,2005,Lake Oswego,OR
62549,5,14.1,0.0,10.0,0.0,0.0,0.0,0.0,Newtopia Inc.,0.9111033608387006,2008,2008,New York,NY
62551,3,96.45,0.0,10.6,0.0,0.0,1.0,85.0,GroupMe Inc.,0.8932433299831519,2010,2010,New York,NY
62579,27,999.96,1.7999999999999998,309.9,1.0,150.0,0.0,0.0,"Twilio, Inc.",0.8959725333339505,2008,2008,San Francisco,CA
62625,4,57.45,0.75,57.45,0.0,0.0,1.0,0.0,Federated Media,0.06472228259640997,2005,2005,San Francisco,CA
62668,8,324.3,0.0,31.9,0.0,0.0,0.0,0.0,Spruce Finance Inc.,0.7617065784500626,2015,2015,San Francisco,CA
62677,2,8.0,0.0,8.0,0.0,0.0,1.0,150.0,"Accertify, Inc.",0.8546635972273812,2007,2007,Itasca,IL
62689,14,458.0,0.0,386.0,1.0,91.0,1.0,1800.0,Kayak Software Corporation,0.8184191076220063,2004,2004,Stamford,CT
62713,12,256.41,0.0,192.7,0.0,0.0,1.0,0.0,"Harvest Power, Inc.",0.7891211869219115,2008,2008,Waltham,MA
62783,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kinsail Corporation,0.9474585630100328,2008,2008,McLean,VA
62854,7,55.95,1.45,35.95,0.0,0.0,1.0,175.0,"Figure Eight Technologies, Inc.",0.8712736644227324,2008,2008,San Francisco,CA
62898,12,54.6,1.6,54.6,0.0,0.0,1.0,0.0,"VigLink, Inc.",0.3613597196962619,2009,2009,San Francisco,CA
62922,2,45.6,0.0,45.6,1.0,128.0,0.0,0.0,Gigamon Inc.,0.8739160957704343,2004,2004,Santa Clara,CA
62963,16,304.42000000000013,0.0,62.2,0.0,0.0,0.0,0.0,Sauce Labs Inc.,0.9006904345867666,2008,2008,San Francisco,CA
62986,16,148.68,1.0,98.14,0.0,0.0,1.0,119.0,"Aggregate Knowledge, Inc.",0.8883996672864862,2005,2005,San Mateo,CA
63058,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"DirectMail.io, LLC",0.9220319279062934,2008,2008,Mandeville,LA
63156,3,57.3,0.0,14.0,0.0,0.0,0.0,0.0,"Petra Solar, Inc.",0.6757626935028576,2006,2006,South Plainfield,NJ
63205,2,10.0,0.0,10.0,0.0,0.0,1.0,0.0,One Block Off The Grid Inc.,0.7905224888951803,2008,2008,San Francisco,CA
63220,18,238.0,0.0,59.0,0.0,0.0,1.0,614.0,"Veracode, Inc.",0.8788662708723047,2006,2006,Burlington,MA
63381,18,150.72000000000003,0.0,138.0,0.0,0.0,1.0,640.0,BrightRoll Inc.,0.7998813566860234,2006,2006,San Francisco,CA
63479,24,753.9,0.0,279.63,1.0,161.5,1.0,2500.0,"ExactTarget, Inc.",0.9069122563175755,2001,2001,Indianapolis,IN
63488,22,134.7,8.8,67.8,0.0,0.0,0.0,0.0,"Betaworks Studio, LLC",0.7966697116556772,2008,2008,New York,NY
63503,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TweetBackup,0.8078962396427529,2008,2008,Cambridge,MA
63558,5,132.0,0.0,60.5,0.0,0.0,1.0,0.0,Avvo Inc.,0.8657491934630202,2007,2007,Seattle,WA
63567,6,26.2,2.0,26.2,0.0,0.0,1.0,120.0,"TripIt, Inc.",0.7968756653850679,2006,2006,San Francisco,CA
63658,13,1403.37,0.0,546.8,1.0,700.0,0.0,0.0,Groupon Inc.,0.881050665183027,2008,2008,Chicago,IL
63720,4,10.5,0.0,10.5,0.0,0.0,0.0,0.0,"Cardagin Networks, Inc.",0.9291102598862871,2009,2009,Charlottesville,NC
63743,1,0.0,0.0,0.0,0.0,0.0,1.0,800.0,Brightree,0.9477597799314486,2005,2005,Lawrenceville,NJ
63760,3,9.0,0.0,9.0,0.0,0.0,1.0,0.0,"Kongregate, Inc.",0.8848302655678971,2006,2006,San Francisco,CA
63772,22,61.6,0.0,49.6,0.0,0.0,1.0,0.0,Currensee,0.8910528316134183,2008,2008,Boston,MA
63790,12,57.6,0.0,57.6,0.0,0.0,1.0,80.0,Hunch Inc.,0.6038615814819026,2007,2007,New York,NY
63881,8,25.0,0.0,22.0,0.0,0.0,1.0,0.0,ShopIgniter Inc.,0.9131004619269693,2009,2009,Portland,OR
63976,12,508.0,5.0,48.0,1.0,84.0,0.0,0.0,"The Trade Desk, Inc.",0.8744131053622152,2009,2009,Ventura,CA
64005,8,126.2,0.0,126.2,0.0,0.0,0.0,0.0,Smartling,0.8427322867296191,2009,2009,New York,NY
64169,6,17.9,0.0,0.0,0.0,0.0,0.0,0.0,SunLink Corporation,0.9181031943931344,2004,2004,Mill Valley,CA
64177,5,40.88,0.88,36.88,0.0,0.0,1.0,0.0,"JIBE, Inc.",0.9471600112083788,2009,2009,New York,NY
64238,41,988.0,0.0,120.0,0.0,0.0,0.0,0.0,"Payfone, Inc.",0.9149953528041764,2008,2008,New York,NY
64344,16,115.0,0.0,41.0,0.0,0.0,1.0,9.0,"Damballa, Inc.",0.9182535498512838,2006,2006,Atlanta,GA
64380,10,92.0,0.0,62.0,0.0,0.0,1.0,0.0,POPSUGAR Inc.,0.8681405840095053,2016,2016,San Francisco,CA
64406,14,404.9,0.0,54.7,0.0,0.0,0.0,0.0,Prosper Funding LLC,0.7999494356535507,2005,2005,San Francisco,CA
64497,3,38.0,0.0,38.0,1.0,75.0,1.0,1300.0,"InvenSense, Inc.",0.9192763196027544,2003,2003,San Jose,CA
64516,8,21.03,2.5,15.2,0.0,0.0,1.0,0.0,"AppFirst, Inc.",0.9103645337773428,2009,2009,Bloomington,MN
64548,2,99.65,0.0,0.0,1.0,78.0,0.0,0.0,"Casa Systems, Inc.",0.4723783039574663,2003,2003,Andover,MA
64571,24,374.38,0.0,176.5,0.0,0.0,0.0,0.0,"Knewton, Inc.",0.8325597744226403,2008,2008,New York,NY
64573,7,8.05,0.0,4.2,0.0,0.0,0.0,0.0,"Lingotek, Inc.",0.7529161272084339,2005,2005,Draper,UT
64578,4,5.49,0.0,0.0,0.0,0.0,1.0,0.0,Zinch Inc.,0.9461184296626411,2006,2006,San Francisco,CA
64643,8,256.9,0.0,166.9,0.0,0.0,1.0,1400.0,"Jasper, Inc.",0.861302147210421,2004,2004,Santa Clara,CA
64664,12,3821.9,0.0,295.0,0.0,0.0,0.0,0.0,"BrightSource Energy, Inc.",0.8837131322487934,2006,2006,Oakland,CA
64712,36,3650.85,4.5,539.8499999999998,1.0,4559.54,0.0,0.0,"Slack Technologies, Inc.",0.920505796384251,2009,2009,San Francisco,CA
64734,16,254.66000000000003,0.0,124.9,1.0,54.17,1.0,0.0,"ReachLocal, Inc.",0.8619045753046801,2004,2004,Woodland Hills,CA
64747,14,159.74,0.24,159.74,1.0,131.2,1.0,3000.0,"SendGrid, Inc.",0.8894285357641809,2009,2009,Denver,CO
64758,21,183.9,0.0,105.0,0.0,0.0,1.0,15.5,Mojiva Inc.,0.8059542244233688,2009,2009,New York,NY
64784,28,1128.14,0.0,297.22,1.0,175.0,0.0,0.0,"Box, Inc.",0.8199261567714119,2005,2005,Redwood City,CA
64818,14,148.39999999999995,0.0,76.8,0.0,0.0,0.0,0.0,"Networked Insights, Inc.",0.3737178055711133,2006,2006,Chicago,IL
64819,3,28.8,0.0,28.8,0.0,0.0,1.0,320.0,FreeWheel,0.8543420278968556,2007,2007,San Mateo,CA
64838,2,3.72,0.55,3.72,0.0,0.0,1.0,0.0,GDGT,0.9212447853774332,2008,2008,San Francisco,CA
64862,7,61.0,0.0,60.0,0.0,0.0,1.0,0.0,"ShoeDazzle.com, Inc.",0.7673505094491107,2009,2009,Santa Monica,CA
64881,10,67.6,1.2,67.6,0.0,0.0,0.0,0.0,"Academia, Inc.",0.8603639639453762,2008,2008,San Francisco,CA
64921,3,21.4,0.0,21.4,0.0,0.0,1.0,85.0,"Cantaloupe Systems, Inc.",0.9145283995925466,2002,2002,San Francisco,CA
64957,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VendorCity,0.9133818713403862,2008,2008,Hampstead,NH
65016,21,253.58,0.0,96.91,0.0,0.0,0.0,0.0,"Delivery Agent, Inc.",0.8088133152364916,2005,2005,San Francisco,CA
65027,36,208.96,0.0,115.0,0.0,0.0,1.0,0.0,Guardian Analytics Inc.,0.8580157979247094,2005,2005,Mountain View,CA
65071,24,128.0,0.0,128.0,0.0,0.0,1.0,0.0,Taykey Inc.,0.9038923053318744,2009,2009,New York,NY
65110,4,26.6,0.0,26.6,0.0,0.0,1.0,0.0,Trust Digital,0.8650297600535506,2003,2003,McLean,VA
65117,8,86.4,0.0,44.0,0.0,0.0,0.0,0.0,IronKey Inc.,0.9230434986872296,2005,2005,Sunnyvale,CA
65192,8,120.9,0.0,16.1,0.0,0.0,0.0,0.0,Odyssey Logistics & Technology Corporation,0.7566190350149171,2003,2003,Danbury,CT
65203,4,60.0,0.0,60.0,0.0,0.0,0.0,0.0,Infineta Systems,0.9011486751069264,2008,2008,San Jose,CA
65205,14,71.2,0.0,71.2,0.0,0.0,1.0,0.0,"C9, Inc.",0.8327957737871043,2007,2007,San Mateo,CA
65209,10,40.62,0.0,15.87,0.0,0.0,1.0,0.0,Swap.com,0.7693165669581673,2004,2004,,IL
65237,18,94.65,0.0,36.0,0.0,0.0,0.0,0.0,SmartZip Analytics Inc.,0.8907120423680175,2008,2008,Pleasanton,CA
65241,10,99.70000000000002,0.0,99.70000000000002,0.0,0.0,1.0,200.0,True[X],0.8513998218969847,2007,2007,West Hollywood,CA
65315,8,107.85,0.0,60.85,1.0,167.0,0.0,0.0,"Phreesia, Inc.",0.9498720028388112,2005,2005,New York,NY
65318,8,40.0,0.0,40.0,0.0,0.0,1.0,54.0,"Caring, LLC",0.7505054012703258,2007,2007,San Mateo,CA
65411,15,115.73,0.0,38.6,1.0,39.0,0.0,0.0,"Sonim Technologies, Inc.",0.9615976116595364,2007,2007,Austin,TX
65468,26,784.46,0.0,143.51999999999995,1.0,870.0,0.0,0.0,LendingClub Corporation,0.6741440802025086,2006,2006,San Francisco,CA
65503,6,55.0,0.0,55.0,0.0,0.0,1.0,240.0,Zong,0.8851723417336925,2008,2008,Menlo Park,CA
65507,4,13.7,0.0,13.7,0.0,0.0,0.0,0.0,"eMindful, Inc.",0.8542817162636241,2007,2007,Vero Beach,Fl
65684,18,20.52,0.0,4.800000000000002,0.0,0.0,1.0,0.0,HitFix,0.7892053682597979,2008,2008,Santa Monica,CA
65688,2,1.1,0.0,1.1,0.0,0.0,1.0,0.0,CoTweet,0.8820871299371585,2008,2008,San Francisco,CA
65691,5,49.3,0.0,6.3,0.0,0.0,0.0,0.0,"SpareFoot, Inc.",0.9155856066641604,2008,2008,Austin,TX
65757,22,296.2000000000001,0.0,19.200000000000006,0.0,0.0,0.0,0.0,"Extreme Reach, Inc.",0.813843702079563,2008,2008,Needham,MA
65841,12,110.5,0.0,78.5,0.0,0.0,0.0,0.0,Schoology,0.8602868731805329,2009,2009,New York,NY
65845,33,474.42,0.0,294.42,0.0,0.0,1.0,0.0,"Scality, Inc.",0.730303637971847,2009,2009,San Francisco,CA
65856,4,48.8,0.0,32.5,0.0,0.0,0.0,0.0,"Axtria, Inc.",0.8637772582890161,2010,2010,,NJ
65863,10,132.0,0.0,132.0,0.0,0.0,1.0,0.0,Work Market Inc.,0.8243461112366225,2010,2010,New York,NY
65890,5,19.08,0.0,14.08,0.0,0.0,1.0,0.0,"Abe's Market, Co.",0.8091241828699716,2009,2009,Chicago,IL
65920,24,657.4199999999997,0.0,162.18,0.0,0.0,1.0,150.0,"dataxu, inc.",0.8557578129421651,2009,2009,Boston,MA
65935,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Zeep Mobile,0.7267118072053693,2008,2008,Irvine,CA
65943,18,236.8,0.0,128.8,0.0,0.0,1.0,0.0,"AlienVault, Inc.",0.9270009464287048,2007,2007,San Mateo,CA
65960,2,10.76,0.0,10.76,0.0,0.0,0.0,0.0,Kudzu Interactive,0.8793914233274354,2007,2007,Alpharetta,GA
65962,15,111.0,0.0,81.0,0.0,0.0,0.0,0.0,"Resonate, Inc.",0.8453412501485233,2008,2008,San Jose,CA
66010,15,153.75,0.0,45.75,0.0,0.0,1.0,0.0,"Magnetic Media Online, Inc.",0.7685650864182627,2008,2008,New York,NY
66041,3,23.0,0.0,20.0,0.0,0.0,1.0,0.0,KACE Networks,0.8980382904260029,2003,2003,Mountain View,CA
66186,3,19.0,0.0,19.0,0.0,0.0,1.0,0.0,Clicker Media Inc.,0.9284056008006941,2009,2009,Los Angeles,CA
66210,18,98.61999999999998,4.0,66.61999999999999,0.0,0.0,1.0,130.0,"Ustream, Inc.",0.8420293200297929,2007,2007,San Francisco,CA
66217,12,482.9,0.0,74.6,1.0,132.6,1.0,238.0,Millennial Media Inc.,0.7815718354043707,2006,2006,Baltimore,MD
66279,21,198.0,0.0,198.0,1.0,62.5,0.0,0.0,"Carbonite, Inc.",0.8987721138909788,2005,2005,Boston,MA
66288,7,69.52,0.0,57.0,1.0,161.28,1.0,462.0,"Jive Software, Inc.",0.9158509107809124,2001,2001,Campbell,CA
66370,4,14.0,0.0,14.0,0.0,0.0,1.0,80.0,"Mochi Media, Inc.",0.8110624792740417,2005,2005,San Francisco,CA
66378,24,189.40000000000003,0.0,88.0,0.0,0.0,0.0,0.0,"GlassHouse Technologies, Inc.",0.91042839498938,2001,2001,Southborough,MA
66387,22,488.5,0.0,136.5,0.0,0.0,0.0,0.0,"Puppet, Inc.",0.907315428956476,2009,2009,Portland,OR
66722,1,12.0,0.0,0.0,1.0,19.34,0.0,0.0,Diffusion Pharmaceuticals Inc.,0.7370031590514053,2015,2015,Charlottesville,VA
66780,11,518.85,0.0,80.25,0.0,0.0,0.0,0.0,"ChargePoint, Inc.",0.7233521544563919,2007,2007,Campbell,CA
66785,17,20.9,0.0,10.5,0.0,0.0,1.0,0.0,"Powerhouse Dynamics, Inc.",0.913075430451958,2008,2008,Newton,MA
66793,5,29.2,0.0,22.5,0.0,0.0,1.0,200.0,"ShopKick, Inc.",0.8861476635374714,2009,2009,Redwood City,CA
66824,10,159.97,0.02,159.42000000000004,0.0,0.0,0.0,0.0,SeatGeek Inc.,0.8763210060490081,2009,2009,New York,NY
66941,8,302.12,0.0,45.9,0.0,0.0,0.0,0.0,ThredUp Inc.,0.9339661270836584,2009,2009,San Francisco,CA
67074,5,86.0,0.0,72.0,0.0,0.0,1.0,0.0,"Avere Systems, Inc.",0.7875626500778988,2008,2008,Pittsburgh,PA
67081,8,177.94,0.0,45.0,0.0,0.0,0.0,0.0,"Zocdoc, Inc.",0.8815125176986254,2007,2007,New York,NY
67088,12,148.3,0.0,128.3,0.0,0.0,1.0,220.0,"WePay, Inc.",0.9122791600144922,2008,2008,Redwood City,CA
67089,5,15.08,0.11,15.08,0.0,0.0,1.0,0.0,CloudMade Ltd.,0.8776135847688507,2007,2007,Sunnyvale,CA
67091,5,210.5,0.0,210.5,0.0,0.0,0.0,0.0,"Flipboard, Inc.",0.9588271197732212,2010,2010,Palo Alto,CA
67101,24,934.5,12.0,334.5,0.0,0.0,0.0,0.0,Actifio Inc.,0.02600081440080195,2009,2009,Waltham,MA
67102,6,34.75,0.0,17.0,0.0,0.0,0.0,0.0,Power Assure Inc.,0.8761441603046196,2007,2007,Santa Clara,CA
67114,8,50.29,1.05,43.15,0.0,0.0,1.0,500.0,"Elemental Technologies, LLC",0.9160315632380416,2006,2006,Portland,OR
67251,21,67.35,0.0,26.4,0.0,0.0,0.0,0.0,"Caringo, Inc.",0.8504429985160673,2005,2005,Austin,TX
67253,15,294.0,0.0,159.0,0.0,0.0,0.0,0.0,"HireVue, Inc.",0.9524785591459072,2004,2004,South Jordan,UT
67263,24,142.79999999999995,0.0,34.5,0.0,0.0,1.0,0.0,"Basho Technologies, Inc.",0.9573620864919248,2008,2008,Bellevue,WA
67292,8,78.19999999999997,3.2,39.2,0.0,0.0,0.0,0.0,"Recurly, Inc.",0.8969176703208227,2009,2009,San Francisco,CA
67475,24,234.96,0.0,171.0,1.0,56.0,0.0,0.0,Xactly Corporation,0.9049512743649152,2005,2005,San Jose,CA
67476,10,79.95,0.93,54.93,0.0,0.0,0.0,0.0,"Inkling Systems, Inc.",0.9312008019080038,2009,2009,San Francisco,CA
67569,6,63.45,0.0,29.0,0.0,0.0,0.0,0.0,"Yottaa, Inc.",0.8372513453389724,2009,2009,Waltham,MA
67607,7,40.2,0.0,10.0,0.0,0.0,0.0,0.0,6fusion Inc.,0.8299006839547453,2010,2010,Raleigh,NC
67608,2,4.5,0.0,3.0,0.0,0.0,1.0,0.0,WorkFlex Solutions LLC,0.8495168084296832,2009,2009,Cincinnati,OH
67616,14,63.90000000000001,2.2,49.2,0.0,0.0,0.0,0.0,"SpaceCurve, Inc.",0.8982303490838222,2009,2009,Palo Alto,CA
67702,6,28.3,0.0,7.0,0.0,0.0,1.0,0.0,"Healthsense, Inc.",0.00021606082258123207,2003,2003,Mendota Heights,MN
67747,36,258.4200000000001,0.0,13.0,0.0,0.0,1.0,0.0,"InstaMed Communications, LLC",0.8767142626164807,2004,2004,Philadelphia,PA
67769,14,157.39,0.0,19.0,0.0,0.0,0.0,0.0,"CallMiner, Inc.",0.9367231563174891,2002,2002,Waltham,MA
67794,14,340.65,0.0,40.1,0.0,0.0,1.0,220.0,SpringCM Inc.,0.5166535006343709,2005,2005,Chicago,IL
67839,6,11.6,0.0,11.6,0.0,0.0,0.0,0.0,"Tyfone, Inc.",0.9114033452184676,2004,2004,Portland,ME
67854,6,18.6,0.0,18.6,0.0,0.0,0.0,0.0,TuneUp Media,0.7852101759946267,2007,2007,San Francisco,CA
67857,12,79.4,2.0,70.4,0.0,0.0,0.0,0.0,"Expensify, Inc.",0.8713343515742611,2008,2008,San Francisco,CA
67877,18,74.96999999999998,0.0,60.0,0.0,0.0,1.0,0.0,"Adaptive Computing Enterprises, Inc.",0.20979747898087814,2001,2001,Provo,UT
67882,4,46.0,0.0,46.0,0.0,0.0,1.0,370.0,SandForce Inc.,0.9229811962057812,2006,2006,Milpitas,CA
67932,18,398.62000000000006,0.0,149.26,0.0,0.0,0.0,0.0,Crocus Technology International Corp.,0.8436644506097191,2014,2014,Santa Clara,CA
67978,12,41.7,9.7,41.7,0.0,0.0,1.0,0.0,"Get Satisfaction, Inc.",0.8522593547913471,2007,2007,San Francisco,CA
67980,8,184.1,0.0,109.0,0.0,0.0,0.0,0.0,"Aryaka Networks, Inc.",0.016671449464899492,2009,2009,San Mateo,CA
67987,27,210.06,0.0,87.06,0.0,0.0,0.0,0.0,Verve Wireless Inc.,0.9362425747018388,2005,2005,New York,NY
68010,21,323.99999999999994,0.0,230.4,0.0,0.0,0.0,0.0,"Shapeways, Inc.",0.7920824794114352,2007,2007,New York,NY
68050,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Propertybase Inc.,0.9234555437476012,2010,2010,Boston,MA
68098,24,285.2999999999999,0.0,70.5,0.0,0.0,0.0,0.0,Innovid,0.8324603164302902,2007,2007,New York,NY
68104,10,93.76,0.0,46.2,0.0,0.0,0.0,0.0,"Zevia, LLC",0.9485778315645012,2007,2007,Los Angeles,CA
