,dealcounts,dealsizeusdmn,seed_founding,firstrounds_founding,has_ipo,ipo_value,has_tradesale,tradesale_value,name,Strat_score,score_year,incyear,portfoliocompanycity,portfoliocompanystatecounty
130794,4,47.0,0.0,45.0,0.0,0.0,0.0,0.0,OpenSesame Inc.,0.8363731837571313,2011,2011,Portland,OR
130925,5,16.82,3.55,14.05,0.0,0.0,0.0,0.0,Washio,0.8679167899716743,2013,2013,Los Angeles,CA
130950,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Suja Juice,0.845279164245744,2012,2012,San Diego,CA
130983,12,37.2,9.6,37.2,0.0,0.0,0.0,0.0,"AnyRoad, Inc.",0.8617650954254851,2014,2014,San Francisco,CA
131079,3,59.0,0.0,39.0,0.0,0.0,0.0,0.0,"ClearSky Data, Inc.",0.8346818151113876,2014,2014,Boston,MA
131089,6,150.07999999999996,0.0,47.08,0.0,0.0,0.0,0.0,"CS Disco, Inc.",0.9171551827143012,2012,2012,Austin,TX
131196,4,2.75,1.25,1.25,0.0,0.0,0.0,0.0,panOpen,0.8245619497694779,2013,2013,New York,NY
131420,16,160.51999999999995,0.0,132.0,0.0,0.0,0.0,0.0,Virtru Corporation,0.9501724455644404,2012,2012,Washington,DC
131430,12,45.39,3.39,33.39,0.0,0.0,1.0,22.32,"Petnet, Inc.",0.8309249846158657,2012,2012,Los Angeles,CA
131519,16,925.56,8.0,309.2,0.0,0.0,1.0,1370.0,"Harry's, Inc.",0.7843399810334972,2013,2013,New York,NY
131564,12,37.0,4.2,37.0,0.0,0.0,1.0,0.0,"Apptimize, Inc.",0.8988360570004719,2013,2013,San Francisco,CA
131568,6,45.0,0.0,45.0,0.0,0.0,1.0,0.0,Zepp US Inc.,0.7745606440137935,2011,2011,San Jose,CA
131578,18,279.02,20.0,120.0,0.0,0.0,0.0,0.0,"Kensho Technologies, Inc.",0.8879116917416143,2013,2013,Cambridge,MA
131667,12,51.56999999999999,0.0,0.0,0.0,0.0,0.0,0.0,Uniken Inc.,0.8373009396460664,2013,2013,,NJ
131757,7,89.2,0.0,26.3,0.0,0.0,0.0,0.0,"JumpCloud, Inc.",0.8285072684734525,2012,2012,Boulder,CO
132115,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,"Easy Ice, LLC",0.7711697512815519,2009,2009,Marquette,MI
132361,5,2.45,2.3,2.3,0.0,0.0,0.0,0.0,nextSociety,0.9299174725694896,2012,2012,New York,NY
132389,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Statwing,0.8796344560613603,2012,2012,San Francisco,CA
132466,12,28.5,7.5,25.5,0.0,0.0,1.0,0.0,"BrightFunnel, Inc.",0.9156133186079692,2012,2012,San Francisco,CA
132599,3,9.25,3.0,8.0,0.0,0.0,0.0,0.0,nCrypted Cloud,0.7151097369472389,2012,2012,Boston,MA
132625,6,30.4,2.2,30.4,0.0,0.0,1.0,0.0,"Ravel Law, Inc.",0.7446167828054041,2012,2012,Palo Alto,CA
132642,10,8.74,3.02,3.32,0.0,0.0,0.0,0.0,"CityScan, Inc.",0.8477654706434059,2011,2011,Chicago,IL
