id,website,year,timestamp,error,detailed_error
103614.0,www.sensity.com,2011.0,2020-10-05 13:04:37.875061,getSoup,"HTTPSConnectionPool(host='web.archive.org', port=443): Read timed out. (read timeout=10)"
103614.0,www.sensity.com,2011.0,2020-10-05 13:05:26.230504,getSoup,"HTTPSConnectionPool(host='web.archive.org', port=443): Read timed out. (read timeout=10)"
103614.0,www.sensity.com,2011.0,2020-10-05 13:05:41.578822,getSoup,"HTTPSConnectionPool(host='web.archive.org', port=443): Read timed out. (read timeout=10)"
103614.0,www.sensity.com,2011.0,2020-10-05 13:06:28.688146,getSoup,"HTTPSConnectionPool(host='web.archive.org', port=443): Read timed out. (read timeout=10)"
103614.0,www.sensity.com,2011.0,2020-10-05 13:09:21.124366,getSoup,"HTTPSConnectionPool(host='web.archive.org', port=443): Read timed out. (read timeout=10)"
103614.0,www.sensity.com,2011.0,2020-10-05 13:11:01.045176,getSoup,"HTTPSConnectionPool(host='web.archive.org', port=443): Read timed out. (read timeout=10)"
103614.0,www.sensity.com,2011.0,2020-10-05 13:12:41.576774,getSoup,"HTTPSConnectionPool(host='web.archive.org', port=443): Read timed out. (read timeout=10)"
103955.0,www.brightlightsystems.com,2011.0,2020-10-05 13:20:39.777242,Text is to short,
104210.0,www.global.thoughtfulmedia.com,2011.0,2020-10-05 13:20:45.453059,soup is None,
104382.0,www.ifttt.com,2011.0,2020-10-05 13:22:03.295630,getSoup,"HTTPSConnectionPool(host='web.archive.org', port=443): Read timed out. (read timeout=10)"
104382.0,www.ifttt.com,2011.0,2020-10-05 13:22:57.300974,getSoup,"HTTPSConnectionPool(host='web.archive.org', port=443): Read timed out. (read timeout=10)"
106100.0,www.trueoffice.com,2011.0,2020-10-05 13:26:21.894950,Text is to short,
106657.0,www.umeqo.com,2011.0,2020-10-05 13:26:48.068833,soup is None,
106767.0,www.blabpredicts.com,2011.0,2020-10-05 13:26:53.711424,soup is None,
107131.0,www.corvium.com,2011.0,2020-10-05 13:27:38.359011,soup is None,
107139.0,www.aditazz.com,2011.0,2020-10-05 13:28:02.397228,Text is to short,
107176.0,www.triprental.com,2011.0,2020-10-05 13:28:08.281787,soup is None,
107220.0,www.intrepid.io,2011.0,2020-10-05 13:28:14.013299,soup is None,
107255.0,www.axcellahealth.com,2011.0,2020-10-05 13:28:39.185197,soup is None,
108083.0,www.nexmo.com,2011.0,2020-10-05 13:29:49.747247,getSoup,Exceeded 30 redirects.
108083.0,www.nexmo.com,2011.0,2020-10-05 13:30:20.830745,getSoup,Exceeded 30 redirects.
108379.0,www.eatstreet.com,2011.0,2020-10-05 13:32:15.698381,soup is None,
108600.0,www.sonar.me,2011.0,2020-10-05 13:32:29.370709,Text is to short,
108764.0,www.cloudfactory.com,2011.0,2020-10-05 13:32:44.136546,Text is to short,
109008.0,www.concertgenetics.com,2011.0,2020-10-05 13:32:49.815483,soup is None,
109132.0,www.swaymedical.com,2011.0,2020-10-05 13:32:55.451409,soup is None,
110219.0,www.genapsys.com,2011.0,2020-10-05 13:33:30.728785,soup is None,
110725.0,www.marqeta.com,2011.0,2020-10-05 13:33:59.607245,Text is to short,
110836.0,www.propellerhealth.com,2011.0,2020-10-05 13:34:05.187369,soup is None,
111309.0,www.bypassmobile.com,2011.0,2020-10-05 13:34:11.279533,soup is None,
112058.0,www.infer.com,2011.0,2020-10-05 13:40:57.039845,Text is to short,
112592.0,www.jumpbikes.com,2011.0,2020-10-05 13:41:23.956081,target_date,"HTTPSConnectionPool(host='web.archive.org', port=443): Read timed out. (read timeout=5)"
112592.0,www.jumpbikes.com,2011.0,2020-10-05 13:41:23.961120,soup is None,
112899.0,www.adtile.me,2011.0,2020-10-05 13:43:28.827651,soup is None,
113671.0,www.neverware.com,2011.0,2020-10-05 13:44:28.568982,Text is to short,
114623.0,www.daqri.com,2011.0,2020-10-05 13:46:39.824413,Text is to short,
114890.0,www.finomial.com,2011.0,2020-10-05 13:47:42.582187,Text is to short,
114897.0,www.greengoose.com,2011.0,2020-10-05 13:47:56.147720,Text is to short,
115057.0,www.anki.com,2011.0,2020-10-05 13:48:11.439793,Text is to short,
115171.0,www.tabtor.com,2011.0,2020-10-05 13:48:17.170692,soup is None,
116036.0,www.conveyiq.com,2011.0,2020-10-05 13:48:22.777403,soup is None,
116999.0,www.workfusion.com,2011.0,2020-10-05 13:48:28.727118,soup is None,
117203.0,www.smartcommerce.co,2011.0,2020-10-05 13:48:34.412462,soup is None,
118303.0,www.eponymous.co,2011.0,2020-10-05 13:50:11.369176,soup is None,
118505.0,www.zeel.com,2011.0,2020-10-05 13:55:25.247375,getSoup,"HTTPSConnectionPool(host='web.archive.org', port=443): Read timed out. (read timeout=10)"
121301.0,www.brand.live,2011.0,2020-10-05 14:09:54.986323,soup is None,
122379.0,www.angel.co,2011.0,2020-10-05 14:13:13.022983,getSoup,"HTTPSConnectionPool(host='web.archive.org', port=443): Read timed out. (read timeout=10)"
